                  Pitcher   G   W   L  SV  HLD  CG  SHO   BF     IP    H  HR   SO  BB  IBB  HB  WP   R  ER    ERA    FIP  kwERA  WHIP ERA+ FIP- kwERA-    Diff    HR%      K%     BB%    K-BB%                Team League
21             Nishi Yuki  24   6   9   0    0   2    0  610  143.2  143  12   95  40    6   4   2  68  60   3.76   3.84   3.90  1.27   92  101    107   -0.08   2.0%   15.6%    6.6%     9.0%      Hanshin Tigers     CL
22            Ogawa Ippei  19   1   0   0    2   0    0   83   21.1   15   2   19   7    0   0   0   7   7   2.95   3.57   3.35  1.03  117   94     92   -0.62   2.4%   22.9%    8.4%    14.5%      Hanshin Tigers     CL
23              Ono Taiki  12   0   0   0    0   0    0   71   14.2   17   1   14   8    0   1   0  13  13   7.98   3.97   3.95  1.70   43  104    108    4.01   1.4%   19.7%   11.3%     8.4%      Hanshin Tigers     CL
24         Oyokawa Masaki  39   2   3   0   10   0    0  169   39.0   31   4   38  24    4   2   4  18  16   3.69   4.54   3.97  1.41   94  119    109   -0.85   2.4%   22.5%   14.2%     8.3%      Hanshin Tigers     CL
25          Saitoh Yukiya  19   1   1   0    1   0    0  103   23.1   23   1   26  12    0   0   3  14  12   4.63   3.02   3.44  1.50   75   79     94    1.61   1.0%   25.2%   11.7%    13.5%      Hanshin Tigers     CL
26          Suarez Robert  62   1   1  42    0   0    0  229   62.1   40   0   58   8    2   0   1   9   8   1.16   1.68   2.62  0.77  298   44     72   -0.52   0.0%   25.3%    3.5%    21.8%      Hanshin Tigers     CL
27       Takahashi Haruto   7   4   2   0    0   2    2  181   49.0   30   1   55   5    0   0   0  10   9   1.65   1.48   2.04  0.71  210   39     56    0.17   0.6%   30.4%    2.8%    27.6%      Hanshin Tigers     CL
28           Yuasa Atsuki   3   0   0   0    0   0    0   21    3.0   10   0    2   2    0   0   2   7   6  18.00   3.82   4.80  4.00   19  101    132   14.18   0.0%    9.5%    9.5%     0.0%      Hanshin Tigers     CL
29              Bird Kyle  33   0   0   0   11   0    0   98   21.2   21   0   21  13    0   2   0  11  11   4.57   3.29   3.98  1.57   75   87    109    1.28   0.0%   21.4%   13.3%     8.1%      Hiroshima Carp     CL
30         Corniel Robert  50   1   2   0   10   0    0  269   61.1   56   8   79  28    0   3   1  31  26   3.82   3.79   2.90  1.37   90  101     79    0.03   3.0%   29.4%   10.4%    19.0%      Hiroshima Carp     CL
31          Endoh Atsushi   2   0   0   0    0   0    0   36    6.2    9   2   11   6    0   1   0   6   5   6.75   6.90   3.41  2.25   51  183     93   -0.15   5.6%   30.6%   16.7%    13.9%      Hiroshima Carp     CL
32       Franzua Geronimo   8   1   2   0    1   0    0   31    5.2    9   1    5   5    1   0   0   6   6   9.53   6.33   4.80  2.47   36  168    132    3.20   3.2%   16.1%   16.1%     0.0%      Hiroshima Carp     CL
33            Fujii Reira   5   0   0   0    0   0    0   32    5.2   11   1    7   3    0   1   0   8   8  12.71   5.09   3.55  2.47   27  135     97    7.62   3.1%   21.9%    9.4%    12.5%      Hiroshima Carp     CL
34           Horie Atsuya  51   5   4   0   17   0    0  202   42.1   48   4   29  25    2   1   3  25  20   4.25   4.85   4.60  1.72   81  129    126   -0.60   2.0%   14.4%   12.4%     2.0%      Hiroshima Carp     CL
35           Kemna Makoto  40   2   2   0   12   0    0  175   39.1   45   4   28  15    1   2   2  20  20   4.58   4.35   4.06  1.53   75  116    111    0.23   2.3%   16.0%    8.6%     7.4%      Hiroshima Carp     CL
36       Kikuchi Yasunori  33   2   1   0    3   0    0  140   31.2   31   3   25  13    2   3   0   7   6   1.71   4.32   3.94  1.39  200  115    108   -2.61   2.1%   17.9%    9.3%     8.6%      Hiroshima Carp     CL
37      Kobayashi Tatsuto   1   0   0   0    0   0    0   20    3.2    6   0    6   2    0   0   1   6   4   9.82   1.52   2.80  2.18   35   40     77    8.30   0.0%   30.0%   10.0%    20.0%      Hiroshima Carp     CL
38              Kuri Aren  25  13   9   0    0   2    0  647  149.0  150  18  102  51    1   8   4  73  63   3.81   4.54   4.01  1.35   90  121    110   -0.73   2.8%   15.8%    7.9%     7.9%      Hiroshima Carp     CL
39      Kuribayashi Ryoji  53   0   1  37    0   0    0  201   52.1   23   1   81  28    2   1   1   5   5   0.86   1.97   2.16  0.97  398   52     59   -1.11   0.5%   40.3%   13.9%    26.4%      Hiroshima Carp     CL
40       Morishita Masato  24   8   7   0    0   1    1  672  163.1  144  16  132  52    3   3   6  55  54   2.98   3.82   3.61  1.20  115  102     99   -0.84   2.4%   19.6%    7.7%    11.9%      Hiroshima Carp     CL
41        Moriura Daisuke  54   3   3   0   17   0    0  206   48.1   39   3   41  21    1   4   3  18  17   3.17   3.82   3.83  1.24  108  102    105   -0.65   1.5%   19.9%   10.2%     9.7%      Hiroshima Carp     CL
42          Nakamura Yuta   3   0   3   0    0   0    0   65   13.0   21   3    6   5    0   0   0  17  16  11.08   6.38   4.65  2.00   31  170    127    4.70   4.6%    9.2%    7.7%     1.5%      Hiroshima Carp     CL
43             Nakata Ren  23   0   0   0    6   0    0   89   19.0   20   3   16  12    0   1   2  14  10   4.74   5.57   4.35  1.68   72  148    119   -0.83   3.4%   18.0%   13.5%     4.5%      Hiroshima Carp     CL
44         Nakazaki Shota   4   0   0   0    0   0    0   24    4.0    9   0    1   2    0   0   0   8   6  13.50   4.15   5.22  2.75   25  110    143    9.35   0.0%    4.2%    8.3%    -4.1%      Hiroshima Carp     CL
45    Neverauskas Dovydas   1   0   1   0    0   0    0   15    2.2    3   0    2   5    0   0   1   3   3  10.13   7.28   6.80  3.00   34  194    186    2.85   0.0%   13.3%   33.3%   -20.0%      Hiroshima Carp     CL
46          Nomura Yusuke   8   0   4   0    0   0    0  171   35.2   48   6   29  17    2   2   2  25  25   6.31   5.31   4.10  1.82   54  141    112    1.00   3.5%   17.0%    9.9%     7.1%      Hiroshima Carp     CL
47         Ohmichi Haruki  24   4   4   0    3   0    0  230   53.0   50   4   35  25    0   2   1  30  28   4.75   4.34   4.37  1.42   72  115    120    0.41   1.7%   15.2%   10.9%     4.3%      Hiroshima Carp     CL
48          Ohsera Daichi  23  10   5   0    0   1    1  600  146.2  136  12  102  31    2   5   1  57  50   3.07   3.56   3.62  1.14  111   95     99   -0.49   2.0%   17.0%    5.2%    11.8%      Hiroshima Carp     CL
49       Shimauchi Sotaro  51   0   2   0   15   0    0  205   49.0   44   4   51  14    0   0   2  20  17   3.12   2.99   3.00  1.18  110   79     82    0.13   2.0%   24.9%    6.8%    18.1%      Hiroshima Carp     CL
50        Takahashi Kouya  15   5   7   0    0   0    0  326   73.1   85   9   54  24    0   2   1  44  43   5.28   4.34   3.88  1.49   65  115    106    0.94   2.8%   16.6%    7.4%     9.2%      Hiroshima Carp     CL
51       Takahashi Mikiya  27   0   0   0    0   0    0  108   26.1   20   3   16  10    0   1   1  10   4   1.37   4.67   4.24  1.14  250  124    116   -3.30   2.8%   14.8%    9.3%     5.5%      Hiroshima Carp     CL
52         Tamamura Shogo  17   4   7   0    0   0    0  432  101.0   95  13   67  40    2   1   0  47  43   3.83   4.72   4.18  1.34   89  125    115   -0.89   3.0%   15.5%    9.3%     6.2%      Hiroshima Carp     CL
53          Tokoda Hiroki  16   5   4   0    1   1    1  374   87.1   91   5   80  24    0   2   1  32  31   3.19   2.96   3.30  1.32  107   79     90    0.23   1.3%   21.4%    6.4%    15.0%      Hiroshima Carp     CL
54          Yabuta Kazuki   1   0   0   0    0   0    0   20    4.2    3   0    2   5    0   0   1   2   2   3.86   5.51   6.30  1.71   89  146    173   -1.65   0.0%   10.0%   25.0%   -15.0%      Hiroshima Carp     CL
55          Yasaki Takuya   4   0   0   0    0   0    0   34    7.0    7   1    6   7    0   0   0   9   9  11.57   6.30   5.09  2.00   30  167    139    5.27   2.9%   17.6%   20.6%    -3.0%      Hiroshima Carp     CL
56          Ariyoshi Yuki   1   0   1   0    0   0    0   27    6.2    8   1    3   0    0   0   0   2   2   2.70   4.20   3.69  1.20  135  105    101   -1.50   3.7%   11.1%    0.0%    11.1%       DeNA BayStars     CL
57          Azuma Katsuki   3   1   2   0    0   0    0   75   19.2   10   1   20   4    0   0   0   5   5   2.29   2.39   2.67  0.71  159   60     73   -0.10   1.3%   26.7%    5.3%    21.4%       DeNA BayStars     CL
58          Escobar Edwin  61   4   4   1   32   0    0  229   58.2   39   7   50  11    0   4   0  23  22   3.38   3.77   3.10  0.85  108   94     85   -0.39   3.1%   21.8%    4.8%    17.0%       DeNA BayStars     CL
59     Hamaguchi Haruhiro  17   5   7   0    0   1    1  387   91.1   73   8   84  52    1   3   5  42  40   3.94   4.26   3.97  1.37   92  107    109   -0.32   2.1%   21.7%   13.4%     8.3%       DeNA BayStars     CL
60          Hirata Shingo  38   2   0   1    3   0    0  185   41.2   41   6   34  21    1   2   1  21  19   4.10   5.05   4.10  1.49   89  126    112   -0.95   3.2%   18.4%   11.4%     7.0%       DeNA BayStars     CL
61             Ikeya Sota   6   0   0   0    0   0    0   25    6.2    2   0    2   2    0   1   0   0   0   0.00   3.90   4.80  0.60  999   98    132   -3.90   0.0%    8.0%    8.0%     0.0%       DeNA BayStars     CL
62          Imanaga Shota  19   5   5   0    0   1    0  476  120.0   97  16  110  26    3   4   0  43  41   3.08   3.80   3.04  1.02  118   95     83   -0.72   3.4%   23.1%    5.5%    17.6%       DeNA BayStars     CL
63            Irie Taisei   4   0   4   0    0   0    0   80   18.1   22   4   14   5    0   1   1  18  16   7.85   5.44   3.68  1.47   46  136    101    2.41   5.0%   17.5%    6.2%    11.3%       DeNA BayStars     CL
64             Ise Hiromu  39   0   1   0    6   0    0  144   35.1   30   0   38  15    2   1   2  11  11   2.80   2.36   3.20  1.27  130   59     88    0.44   0.0%   26.4%   10.4%    16.0%       DeNA BayStars     CL
65           Ishida Kenta  33   1   2   0    2   0    0  168   37.2   44   4   39  18    1   2   1  24  24   5.73   4.06   3.55  1.65   63  102     97    1.67   2.4%   23.2%   10.7%    12.5%       DeNA BayStars     CL
66      Kamichatani Taiga   8   1   3   0    0   0    0  155   34.0   37   5   26  17    1   1   1  27  27   7.15   5.12   4.22  1.59   51  128    116    2.03   3.2%   16.8%   11.0%     5.8%       DeNA BayStars     CL
67         Kasai Takamasa   1   0   0   0    0   0    0   11    1.0    5   1    1   2    0   1   0   6   6  54.00  23.15   5.71  7.00    7  579    156   30.85   9.1%    9.1%   18.2%    -9.1%       DeNA BayStars     CL
68           Kazahari Ren   5   0   0   0    0   0    0   33    7.0   12   2    6   0    0   0   0   6   6   7.71   5.15   2.98  1.71   47  129     82    2.56   6.1%   18.2%    0.0%    18.2%       DeNA BayStars     CL
69         Kuniyoshi Yuki  18   1   1   0    0   0    0  125   29.2   24   1   37  13    1   1   1  18  17   5.16   2.51   2.88  1.25   70   63     79    2.65   0.8%   29.6%   10.4%    19.2%       DeNA BayStars     CL
70         Kyoyama Masaya  16   2   7   0    0   0    0  353   76.0   91   9   67  41    2   2   3  47  42   4.97   4.63   4.06  1.74   73  116    111    0.34   2.5%   19.0%   11.6%     7.4%       DeNA BayStars     CL
71          Mikami Tomoya  40   2   1   0    3   0    0  148   35.0   36   5   25   9    1   1   0  15  15   3.86   4.44   3.72  1.29   94  111    102   -0.58   3.4%   16.9%    6.1%    10.8%       DeNA BayStars     CL
72         Mishima Kazuki  59   3   5  23    1   0    0  246   57.1   66   8   57  12    1   0   3  31  26   4.08   3.61   2.97  1.36   89   90     81    0.47   3.3%   23.2%    4.9%    18.3%       DeNA BayStars     CL
73       Miyaguni Ryosuke   3   1   1   0    0   0    0   68   16.0   18   3   14   5    0   0   0  11  11   6.19   4.78   3.48  1.44   59  120     95    1.41   4.4%   20.6%    7.4%    13.2%       DeNA BayStars     CL
74             Mutoh Yuta   1   0   0   0    0   0    0    1    0.1    0   0    1   0    0   0   0   0   0   0.00  -2.85  -5.20  0.00  999  -71   -142    2.85   0.0%  100.0%    0.0%   100.0%       DeNA BayStars     CL
75           Nakagawa Koh   7   0   1   0    0   0    0  122   26.1   32   3   24  15    0   0   1  22  19   6.49   4.52   4.06  1.78   56  113    111    1.97   2.5%   19.7%   12.3%     7.4%       DeNA BayStars     CL
76        Ohnuki Shinichi  22   6   7   0    0   0    0  499  112.0  137   9  106  30    2   3   3  57  54   4.34   3.19   3.28  1.49   84   80     90    1.15   1.8%   21.2%    6.0%    15.2%       DeNA BayStars     CL
77        Peoples Michael  18   3   4   0    0   0    0  191   47.0   41   5   41  14    0   2   0  23  22   4.21   3.81   3.39  1.17   86   95     93    0.40   2.6%   21.5%    7.3%    14.2%       DeNA BayStars     CL
78        Romero Fernando  14   5   3   0    0   1    1  349   80.2   89   4   44  30    0   5   4  38  27   3.01   4.01   4.40  1.48  121  100    121   -1.00   1.1%   12.6%    8.6%     4.0%       DeNA BayStars     CL
79      Sakaguchi Kousuke   8   2   3   0    0   0    0  160   35.0   37   4   18  19    0   1   3  20  16   4.11   5.32   4.86  1.60   88  133    133   -1.21   2.5%   11.2%   11.9%    -0.7%       DeNA BayStars     CL
80          Sakamoto Yuya  16   4   6   0    0   0    0  310   70.1   89   9   46  22    0   3   2  43  41   5.25   4.57   4.03  1.58   69  114    110    0.68   2.9%   14.8%    7.1%     7.7%       DeNA BayStars     CL
81          Sakurai Shuto  30   0   1   0    1   0    0  181   41.0   36   3   37  29    1   0   3  15  14   3.07   4.42   4.36  1.59  118  111    119   -1.35   1.7%   20.4%   16.0%     4.4%       DeNA BayStars     CL
82      Shackelford Kevin  32   1   0   1    4   0    0  141   31.1   28   3   34  16    0   5   4  19  18   5.17   4.24   3.52  1.40   70  106     96    0.93   2.1%   24.1%   11.3%    12.8%       DeNA BayStars     CL
83         Shindoh Takuya   2   0   0   0    0   0    0    6    1.0    0   0    1   1    0   2   0   0   0   0.00  10.15   4.80  1.00  999  254    132  -10.15   0.0%   16.7%   16.7%     0.0%       DeNA BayStars     CL
84         Sunada Yoshiki  58   2   2   0   18   0    0  166   41.2   26   1   27  13    2   2   2  15  15   3.24   3.25   3.96  0.94  112   81    108   -0.01   0.6%   16.3%    7.8%     8.5%       DeNA BayStars     CL
85          Taira Kentaro   2   0   0   0    0   0    0   39   10.0    6   0    6   3    0   0   0   1   1   0.90   2.85   4.03  0.90  404   71    110   -1.95   0.0%   15.4%    7.7%     7.7%       DeNA BayStars     CL
86         Tanaka Kenjiro   8   0   0   0    0   0    0   18    4.2    3   0    6   2    0   1   1   0   0   0.00   2.51   2.58  1.07  999   63     71   -2.51   0.0%   33.3%   11.1%    22.2%       DeNA BayStars     CL
87       Yamasaki Yasuaki  60   3   2   1   27   0    0  229   55.0   58   2   39  14    1   3   0  21  20   3.27   3.13   3.71  1.31  111   78    102    0.14   0.9%   17.0%    6.1%    10.9%       DeNA BayStars     CL
88       De La Rosa Rubby  46   1   0   7   13   0    0  175   41.1   38   3   34  12    0   2   1  15  13   2.83   3.47   3.54  1.21  131   85     97   -0.64   1.7%   19.4%    6.9%    12.5%      Yomiuri Giants     CL
89          Furukawa Yuri   1   0   0   0    0   0    0   11    2.0    3   1    0   3    1   1   0   4   4  18.00  15.65   7.53  3.00   21  384    206    2.35   9.1%    0.0%   27.3%   -27.3%      Yomiuri Giants     CL
90          Hatake Seishu  52   4   3   1   11   0    0  390   96.2   83  13   97  25    1   4   2  37  33   3.07   3.79   2.95  1.12  121   93     81   -0.72   3.3%   24.9%    6.4%    18.5%      Yomiuri Giants     CL
91           Heinai Ryuta   3   0   1   0    0   0    0   24    5.0    8   2    5   2    0   0   0   8   8  14.40   7.55   3.55  2.00   26  185     97    6.85   8.3%   20.8%    8.3%    12.5%      Yomiuri Giants     CL
92       Imamura Nobutaka  17   3   4   0    0   1    1  274   63.0   66   5   59  22    0   3   0  21  19   2.71   3.50   3.45  1.40  137   86     95   -0.79   1.8%   21.5%    8.0%    13.5%      Yomiuri Giants     CL
93           Inoh Shoichi   5   0   1   0    0   0    0   26    5.0   11   3    5   1    0   0   0   8   8  14.40   9.55   3.26  2.40   26  234     89    4.85  11.5%   19.2%    3.8%    15.4%      Yomiuri Giants     CL
94           Kagiya Yohei  59   3   0   1   15   0    0  182   42.1   39   5   30  18    0   0   1  19  15   3.19   4.55   4.14  1.35  116  112    113   -1.36   2.7%   16.5%    9.9%     6.6%      Yomiuri Giants     CL
95            Mercedes CC  17   7   5   0    0   0    0  369   86.0   96   5   74  22    1   5   0  36  36   3.77   3.13   3.39  1.37   98   77     93    0.64   1.4%   20.1%    6.0%    14.1%      Yomiuri Giants     CL
96          Nakagawa Kota  58   4   3   1   25   0    0  220   54.2   47   2   49  10    1   5   0  17  15   2.47   2.66   3.03  1.04  150   65     83   -0.19   0.9%   22.3%    4.5%    17.8%      Yomiuri Giants     CL
97           Naoe Daisuke   4   0   1   1    0   0    0   51   11.0   15   1    4   4    0   2   0   6   6   4.91   5.24   4.80  1.73   75  129    132   -0.33   2.0%    7.8%    7.8%     0.0%      Yomiuri Giants     CL
98           Nogami Ryoma   9   0   1   1    4   0    0   63   16.1    8   1   15   6    1   0   0   3   3   1.65   3.21   3.37  0.86  225   79     92   -1.56   1.6%   23.8%    9.5%    14.3%      Yomiuri Giants     CL
99          Numata Shohei   2   0   0   0    0   0    0   11    2.1    3   1    3   1    1   0   0   2   2   7.71   7.44   2.98  1.71   48  183     82    0.27   9.1%   27.3%    9.1%    18.2%      Yomiuri Giants     CL
100            Ohe Ryusei  47   0   0   0   13   0    0  145   33.0   29   2   23  17    1   2   0  16  15   4.09   4.27   4.39  1.39   91  105    120   -0.18   1.4%   15.9%   11.7%     4.2%      Yomiuri Giants     CL
101            Ohtake Kan   4   0   0   0    1   0    0   11    2.1    5   0    0   0    0   0   0   1   1   3.86   3.15   4.80  2.14   96   77    132    0.71   0.0%    0.0%    0.0%     0.0%      Yomiuri Giants     CL
102       Sakurai Toshiki  29   1   0   0    6   0    0  145   33.1   35   7   20  16    1   1   4  20  20   5.40   6.21   4.52  1.53   69  152    124   -0.81   4.8%   13.8%   11.0%     2.8%      Yomiuri Giants     CL
103         Sanchez Angel  14   5   5   0    0   0    0  317   73.0   82  13   54  23    0   3   2  40  38   4.68   5.06   3.82  1.44   79  124    105   -0.38   4.1%   17.0%    7.3%     9.7%      Yomiuri Giants     CL
104       Sugano Tomoyuki  19   6   7   0    0   2    1  465  115.2   90  15  102  25    1   7   1  41  41   3.19   3.91   3.14  0.99  116   96     86   -0.72   3.2%   21.9%    5.4%    16.5%      Yomiuri Giants     CL
105        Takagi Kyosuke  15   1   0   0    1   0    0   81   18.1   22   1   15   7    0   0   0   9   9   4.42   3.37   3.81  1.58   84   83    104    1.05   1.2%   18.5%    8.6%     9.9%      Yomiuri Giants     CL
106        Takahashi Yuki  27  11   9   0    0   0    0  598  140.2  125  18   76  61    2   2   2  57  53   3.39   5.08   4.55  1.32  109  125    125   -1.69   3.0%   12.7%   10.2%     2.5%      Yomiuri Giants     CL
107       Takanashi Yuhei  55   2   2   1   20   0    0  171   39.0   34   2   47  21    4   5   2  17  16   3.69   3.41   3.28  1.41  100   84     90    0.28   1.2%   27.5%   12.3%    15.2%      Yomiuri Giants     CL
108         Tanaka Toyoki  39   0   0   0    2   0    0  152   38.0   22   5   37  20    2   1   3  13  12   2.84   4.57   3.68  1.11  130  112    101   -1.73   3.3%   24.3%   13.2%    11.1%      Yomiuri Giants     CL
109          Toda Natsuki   3   0   0   0    0   0    0   12    3.0    3   0    0   1    0   0   0   0   0   0.00   4.15   5.63  1.33  999  102    154   -4.15   0.0%    0.0%    8.3%    -8.3%      Yomiuri Giants     CL
110           Togo Shosei  26   9   8   0    0   1    0  639  151.2  130  19  138  58    2   6   3  75  72   4.27   4.23   3.55  1.24   87  104     97    0.04   3.0%   21.6%    9.1%    12.5%      Yomiuri Giants     CL
111           Tone Chiaki  29   2   0   1    0   0    0  161   37.1   25   4   36  24    0   3   3  20  20   4.82   4.79   4.05  1.31   77  118    111    0.03   2.5%   22.4%   14.9%     7.5%      Yomiuri Giants     CL
112         Vieira Thyago  56   0   3  19    1   0    0  228   55.1   38   3   64  26    0   1   0  18  18   2.93   3.01   3.13  1.16  126   74     86   -0.08   1.3%   28.1%   11.4%    16.7%      Yomiuri Giants     CL
113        Yamaguchi Shun  15   2   8   0    0   0    0  337   78.1   66   6   83  37    1   3   0  34  31   3.56   3.56   3.44  1.31  104   87     94    0.00   1.8%   24.6%   11.0%    13.6%      Yomiuri Giants     CL
114          Yokogawa Kai   2   0   1   0    0   0    0   37    8.0    9   2    9   2    0   0   0   4   3   3.38   4.90   2.91  1.38  110  120     80   -1.52   5.4%   24.3%    5.4%    18.9%      Yomiuri Giants     CL
115             Hara Juri   9   3   1   0    0   0    0  198   47.0   45   0   25  12    2   4   1  14  12   2.30   3.11   4.14  1.21  161   76    113   -0.81   0.0%   12.6%    6.1%     6.5%     Yakult Swallows     CL
116       Hasegawa Hiroki   4   1   0   0    0   0    0   18    3.1    4   2    3   3    0   0   0   5   4  10.80  11.85   4.80  2.10   34  291    132   -1.05  11.1%   16.7%   16.7%     0.0%     Yakult Swallows     CL
117          Hoshi Tomoya  25   0   0   1    7   0    0  108   24.1   23   2   28  11    0   0   0  14  13   4.81   3.28   3.23  1.40   77   81     88    1.53   1.9%   25.9%   10.2%    15.7%     Yakult Swallows     CL
118     Ishikawa Masanori  17   4   5   0    0   1    0  335   82.0   81  10   54  16    1   3   1  31  28   3.07   4.12   3.67  1.18  121  101    101   -1.05   3.0%   16.1%    4.8%    11.3%     Yakult Swallows     CL
119       Ishiyama Taichi  58   0   5  10    9   0    0  226   55.0   54   6   64  10    0   0   1  23  22   3.60   2.79   2.41  1.16  103   68     66    0.81   2.7%   28.3%    4.4%    23.9%     Yakult Swallows     CL
120         Kanakubo Yuto  10   4   1   0    0   0    0  180   42.2   39   3   34  16    0   2   0  14  13   2.74   3.74   3.80  1.29  135   92    104   -1.00   1.7%   18.9%    8.9%    10.0%     Yakult Swallows     CL
121         Kondoh Hiroki  22   0   1   0   11   0    0   67   18.2   15   1   17   2    0   0   0   2   2   0.96   2.35   2.56  0.91  386   58     70   -1.39   1.5%   25.4%    3.0%    22.4%     Yakult Swallows     CL
122           Konno Ryuta  64   7   1   0   28   0    0  268   62.0   55   1   63  25    0   3   2  19  19   2.76   2.69   3.38  1.29  134   66     93    0.07   0.4%   23.5%    9.3%    14.2%     Yakult Swallows     CL
123         McGough Scott  66   3   2  31   14   0    0  259   64.1   43   7   76  23    2   3   3  19  18   2.52   3.42   2.75  1.03  147   84     75   -0.90   2.7%   29.3%    8.9%    20.4%     Yakult Swallows     CL
124        Ogawa Yasuhiro  23   9   6   0    0   2    1  529  128.1  132  15   97  30    3   1   2  64  59   4.14   3.89   3.53  1.26   89   96     97    0.25   2.8%   18.3%    5.7%    12.6%     Yakult Swallows     CL
